Tipo		Gramatura	Marca	Operação		Força	Velocidade		Passadas		Profundidade		Lâmina		Estado		Data		Obs
Papel Kraft	300 g/m^2	OnPaper	Corte	33		3	2	3	Original		Nova		15/7/26	Não cortou
Papel Kraft	300 g/m^2	OnPaper	Marcar	15	4	1	1	Original		Nova		15/7/26	Ok

